labels 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
0 0.880927 3.95241e-05 0.000166064 0.00030985 0.000116681 0.000259378 0.00276053 7.28237e-05 0.000840836 0.0042081 0.000113589 0.000721094 0.00240864 0.00505626 0.000106461 0.000143449 0.00174929 0.000831929 4.2133e-05 0.000123029 0.000105527 7.60577e-05 0.000325593 0.000475688 0.0314712 0.000274565 0.00499399 0.000289602 0.000412581 4.377e-05 0.0032259 0.000343591 0.000676931 9.21892e-05 7.936e-05 6.61065e-05 0.00223087 0.000887779 0.00259147 0.000507883 0.00301299 9.16494e-05 0.00210082 0.000151422 4.42647e-05 7.83706e-05 8.89737e-05 4.15626e-05 0.0010595 0.00110598 0.0367184 0.000504839 0.0010743 8.89653e-05 0.000422084 8.85459e-05 0.00174784 0.000169727 0.000516004 8.11073e-05 8.41951e-05 5.58812e-05 0.000312733 0.000108333 8.45726e-05
1 0.00130519 0.637992 0.00363441 0.00378773 0.0175809 0.00538943 0.00372581 0.00410311 0.00164431 0.00176611 0.00479315 0.00178882 0.00299591 0.00143122 0.00564907 0.00461398 0.00174039 0.00209959 0.0145302 0.0090256 0.00422822 0.00570691 0.00150427 0.00348057 0.00251554 0.00216937 0.00266795 0.00244798 0.00248904 0.00622259 0.00175918 0.00250167 0.00268173 0.00273632 0.00259463 0.00286349 0.00465104 0.00174671 0.00363357 0.00279434 0.00394576 0.0139481 0.00163684 0.00485126 0.0227126 0.0133451 0.00409738 0.0257496 0.00296398 0.00690969 0.003341 0.00446836 0.00368512 0.0242194 0.00281995 0.0086056 0.00150557 0.00243449 0.00311389 0.00379507 0.0040683 0.00294192 0.00166232 0.0266145 0.0155726
2 0.000642357 0.000242909 0.963938 0.00192102 6.75636e-05 0.000135225 0.000203381 0.000684478 0.000860755 0.00231005 0.00035911 0.000975934 0.000436661 0.000383619 0.000373134 8.74059e-05 0.00039677 0.000243587 0.000114604 0.000254258 7.63733e-05 0.000271758 0.000223897 0.000277609 0.000455946 0.00121918 0.00247682 0.000713142 0.000328489 6.73606e-05 0.000134989 0.000379586 0.000147169 0.000302105 0.000112311 0.00293391 0.00285053 0.000104853 0.00046045 0.000199331 0.000764892 0.000160369 0.00278351 9.11322e-05 0.000107118 0.000122325 0.000187555 0.000145499 0.000171827 0.000269129 0.000320632 0.000484351 0.0007249 0.000108254 0.000448101 0.000123618 0.00049396 0.00019277 0.000211287 0.000277869 0.000523097 0.0022937 0.000353057 0.000108442 0.000166257
3 0.00659485 0.00102636 0.00297763 0.664511 0.00207877 0.00798244 0.0192185 0.0012301 0.0765377 0.00553115 0.00212238 0.0313103 0.00560713 0.0052653 0.00143538 0.0008722 0.00612258 0.00277248 0.000897787 0.00334709 0.00076818 0.00115532 0.001675 0.00560527 0.00955382 0.00165567 0.00523665 0.00169764 0.0166659 0.000776816 0.00310958 0.0019323 0.00127751 0.000681498 0.00118816 0.00131843 0.0122015 0.00348336 0.00379512 0.00571059 0.0093782 0.0010591 0.00718232 0.00133409 0.00105908 0.00181921 0.000922375 0.00101968 0.00167828 0.00191276 0.00709081 0.00154568 0.00229197 0.000802961 0.0175043 0.00107067 0.00281361 0.00102191 0.00155057 0.000631731 0.00146863 0.00174666 0.00382627 0.000900264 0.00143982
4 0.0011033 0.00462751 0.000697982 0.00178674 0.836718 0.00255462 0.00384463 0.0011908 0.00339927 0.000742488 0.0142148 0.00165099 0.00264223 0.00105806 0.00347214 0.00299321 0.000959785 0.00120381 0.00273206 0.00363481 0.00469604 0.00237363 0.00150813 0.00420222 0.00136547 0.000771791 0.00213231 0.00175376 0.00167753 0.00106863 0.00127394 0.00147086 0.00275395 0.00178564 0.000691493 0.0013077 0.00190127 0.00161301 0.00245913 0.00931162 0.00185026 0.00269942 0.00186084 0.00404006 0.00308546 0.00386564 0.00231435 0.00370214 0.00101413 0.00318563 0.00189224 0.00254979 0.00280155 0.00254587 0.00182604 0.0015166 0.00143138 0.00124609 0.00429955 0.00119495 0.00149706 0.00120719 0.00410782 0.00385479 0.00306597
5 0.0018906 0.000134973 0.000256785 0.00174401 0.000406009 0.882851 0.0187256 0.000116835 0.00227961 0.00111447 0.000364061 0.00262948 0.00291595 0.00385248 0.000721608 0.000414228 0.00378642 0.000457589 0.000147193 0.000550601 0.000375437 0.000259414 0.000427028 0.0010461 0.00397856 0.000205549 0.00110119 0.000244645 0.0105392 0.000168788 0.00115762 0.00021816 0.000432758 0.000127279 0.000111748 0.00023387 0.00172658 0.0158167 0.00295027 0.00435348 0.00221333 0.000405454 0.00348116 0.0014468 0.000168766 0.000323774 0.000173221 0.000126462 0.000673262 0.00114381 0.00415301 0.000386164 0.000722076 0.000209034 0.00795945 0.000158945 0.00197135 0.000163089 0.00062721 0.000120996 0.000219004 0.000273275 0.00167572 0.000213869 0.000156714
6 0.0158917 0.000143031 0.000328748 0.000672081 0.000319821 0.00365812 0.875133 0.000144672 0.00350828 0.00120969 0.000257962 0.00440685 0.0136925 0.00358885 0.000645123 0.000343213 0.0103009 0.000644108 0.000115082 0.000167069 0.000485811 0.000343605 0.000644643 0.00105564 0.00766949 0.000481792 0.00194255 0.000645472 0.00251306 0.00011842 0.00106111 0.000467198 0.00069406 0.000151445 0.000143908 0.000234597 0.00259757 0.00629257 0.00943206 0.00269011 0.00406153 0.000545993 0.00212592 0.00083295 0.000138542 0.000169857 0.000259418 0.000119676 0.00120335 0.00221703 0.00518602 0.000715684 0.00179729 0.000292176 0.00206994 0.000273885 0.000739945 0.000350918 0.000481928 0.000155113 0.000188907 0.000237965 0.000633477 0.000214091 0.000152838
7 0.000325468 0.00194062 0.00133197 0.000672826 0.000590422 0.000681472 0.00043229 0.837421 0.000411673 0.00055828 0.000705226 0.000491775 0.000793763 0.000871339 0.00103479 0.00148519 0.000732026 0.00057555 0.00361062 0.00116084 0.00231796 0.000615547 0.00100612 0.000578853 0.000505755 0.000750177 0.000722075 0.000779801 0.000730977 0.00660885 0.000574601 0.0031348 0.00075347 0.00304486 0.0109158 0.0241407 0.000654939 0.000622583 0.000573677 0.000410001 0.000646487 0.00347873 0.00163026 0.000794845 0.00335731 0.00122418 0.00103451 0.00298313 0.000909766 0.00137071 0.000719204 0.00124074 0.000922455 0.00234654 0.00106411 0.00106325 0.000529847 0.0106552 0.00111821 0.00250243 0.00639308 0.035768 0.000709245 0.00132962 0.000939275
8 0.00284352 0.000321323 0.000904666 0.0120058 0.00134422 0.00259503 0.0147012 0.000378092 0.869292 0.00088779 0.000831908 0.0117518 0.0030158 0.0023644 0.00101769 0.000510597 0.00300679 0.00136685 0.000315253 0.000698813 0.000597446 0.00061912 0.00104908 0.00307749 0.00259168 0.000732477 0.00163092 0.00090371 0.00719723 0.000278185 0.00106609 0.000995019 0.000870002 0.000326094 0.000414276 0.000621257 0.00623878 0.00202915 0.00208501 0.00319016 0.00604941 0.000658402 0.00361449 0.000724215 0.000354899 0.000478778 0.000565376 0.000327305 0.000959154 0.00106545 0.00242553 0.000654356 0.00102419 0.000351846 0.00517499 0.000387817 0.000950007 0.000571609 0.000971212 0.000271668 0.000594117 0.00078361 0.00360291 0.00040816 0.000363619
9 0.0100742 0.000130618 0.00143894 0.00331577 0.000225976 0.00117425 0.00177359 0.000138235 0.00239993 0.817673 0.000389176 0.00198198 0.00175084 0.00888374 0.000242733 0.000216121 0.00345387 0.00110909 0.000126881 0.00069313 0.000205945 0.00018436 0.000950588 0.00115127 0.0130279 0.000822013 0.00811082 0.000582777 0.00298005 0.000122666 0.00272013 0.000470478 0.00146551 0.000170309 0.000157065 0.000243229 0.0037702 0.00135837 0.00149308 0.000895532 0.0027272 0.00022007 0.0616769 0.000330676 0.00014366 0.000342447 0.000149479 0.000130987 0.00195039 0.00194092 0.0160958 0.00205891 0.00420745 0.000151323 0.00342269 0.000273548 0.00253625 0.000383211 0.00111477 0.000150022 0.000503965 0.000264772 0.00071167 0.000210496 0.000227609
