Strong Text    Ftarget:0.005 f=0.46 d:0.8
Layer 1    pos=27530 neg=27414
1 Fi=0.892245 Di=0.884562 Ti=-1 Pi=0.498894
2 Fi=0.913657 Di=0.930476 Ti=-1 Pi=0.505616
3 Fi=0.928796 Di=0.911987 Ti=-1 Pi=0.49649
4 Fi=0.932881 Di=0.909372 Ti=-1 Pi=0.494675
5 Fi=0.836616 Di=0.927606 Ti=-1 Pi=0.52684
6 Fi=0.843292 Di=0.932365 Ti=-1 Pi=0.526135
7 Fi=0.82892 Di=0.928805 Ti=-1 Pi=0.529465
8 Fi=0.853433 Di=0.942535 Ti=-1 Pi=0.525859
9 Fi=0.854344 Di=0.935234 Ti=-1 Pi=0.523654
10 Fi=0.802874 Di=0.93567 Ti=-1 Pi=0.539241
11 Fi=0.805793 Di=0.941845 Ti=-1 Pi=0.539974
12 Fi=0.734223 Di=0.946495 Ti=-1 Pi=0.564188
13 Fi=0.746225 Di=0.953832 Ti=-1 Pi=0.562099
14 Fi=0.752645 Di=0.944243 Ti=-1 Pi=0.557498
15 Fi=0.759831 Di=0.94951 Ti=-1 Pi=0.556525
16 Fi=0.757897 Di=0.957719 Ti=-1 Pi=0.559277
17 Fi=0.70971 Di=0.956339 Ti=-1 Pi=0.575048
18 Fi=0.680018 Di=0.945877 Ti=-1 Pi=0.582785
19 Fi=0.683009 Di=0.952052 Ti=-1 Pi=0.5833
20 Fi=0.686802 Di=0.958118 Ti=-1 Pi=0.583497
21 Fi=0.681951 Di=0.951253 Ti=-1 Pi=0.583473
22 Fi=0.653936 Di=0.946495 Ti=-1 Pi=0.59242
23 Fi=0.674765 Di=0.953869 Ti=-1 Pi=0.586711
24 Fi=0.656416 Di=0.952089 Ti=-1 Pi=0.592929
25 Fi=0.655614 Di=0.953941 Ti=-1 Pi=0.593693
26 Fi=0.638287 Di=0.956157 Ti=-1 Pi=0.600694
27 Fi=0.617495 Di=0.950781 Ti=-1 Pi=0.607266
28 Fi=0.614175 Di=0.952888 Ti=-1 Pi=0.609078
29 Fi=0.611622 Di=0.955212 Ti=-1 Pi=0.610649
30 Fi=0.607172 Di=0.956121 Ti=-1 Pi=0.61261
31 Fi=0.598891 Di=0.957973 Ti=-1 Pi=0.616321
32 Fi=0.588167 Di=0.959099 Ti=-1 Pi=0.620862
33 Fi=0.612789 Di=0.96117 Ti=-1 Pi=0.611674
34 Fi=0.596082 Di=0.962114 Ti=-1 Pi=0.618451
35 Fi=0.587802 Di=0.957973 Ti=-1 Pi=0.620731
36 Fi=0.587547 Di=0.958518 Ti=-1 Pi=0.620967
37 Fi=0.584373 Di=0.957065 Ti=-1 Pi=0.621884
38 Fi=0.582367 Di=0.956702 Ti=-1 Pi=0.622604
39 Fi=0.577004 Di=0.959027 Ti=-1 Pi=0.625343
40 Fi=0.575801 Di=0.960189 Ti=-1 Pi=0.626116
41 Fi=0.57135 Di=0.960516 Ti=-1 Pi=0.62801
42 Fi=0.565113 Di=0.959172 Ti=-1 Pi=0.630245
43 Fi=0.560225 Di=0.959499 Ti=-1 Pi=0.632346
44 Fi=0.570949 Di=0.961896 Ti=-1 Pi=0.62851
45 Fi=0.56504 Di=0.960588 Ti=-1 Pi=0.630619
46 Fi=0.561246 Di=0.962986 Ti=-1 Pi=0.632766
47 Fi=0.558948 Di=0.959753 Ti=-1 Pi=0.632938
48 Fi=0.559969 Di=0.962332 Ti=-1 Pi=0.633137
49 Fi=0.155869 Di=0.800327 Ti=0 Pi=0.837566
Layer 2    pos=27530 neg=4279
50 Fi=0.155869 Di=0.795605 Ti=-1 Pi=0.836759
51 Fi=0.156052 Di=0.796586 Ti=-1 Pi=0.836767
52 Fi=0.155979 Di=0.793789 Ti=-1 Pi=0.83635
53 Fi=0.155869 Di=0.79506 Ti=-1 Pi=0.836665
54 Fi=0.155979 Di=0.79713 Ti=-1 Pi=0.836925
55 Fi=0.155906 Di=0.797094 Ti=-1 Pi=0.836982
56 Fi=0.156015 Di=0.79793 Ti=-1 Pi=0.837029
57 Fi=0.155869 Di=0.796113 Ti=-1 Pi=0.836846
58 Fi=0.155942 Di=0.794551 Ti=-1 Pi=0.836514
59 Fi=0.155979 Di=0.796731 Ti=-1 Pi=0.836856
60 Fi=0.155395 Di=0.795205 Ti=-1 Pi=0.837106
61 Fi=0.155687 Di=0.797966 Ti=-1 Pi=0.837323
62 Fi=0.155541 Di=0.794624 Ti=-1 Pi=0.836878
63 Fi=0.155577 Di=0.796912 Ti=-1 Pi=0.837239
64 Fi=0.154775 Di=0.796731 Ti=-1 Pi=0.837911
65 Fi=0.154556 Di=0.795133 Ti=-1 Pi=0.837831
66 Fi=0.154629 Di=0.796876 Ti=-1 Pi=0.838064
67 Fi=0.153425 Di=0.794733 Ti=-1 Pi=0.838758
68 Fi=0.151164 Di=0.793498 Ti=-1 Pi=0.840548
69 Fi=0.14985 Di=0.794479 Ti=-1 Pi=0.841878
70 Fi=0.150252 Di=0.795024 Ti=-1 Pi=0.841613
71 Fi=0.149121 Di=0.793643 Ti=-1 Pi=0.842387
72 Fi=0.148391 Di=0.79288 Ti=-1 Pi=0.84291
73 Fi=0.147297 Di=0.794479 Ti=-1 Pi=0.844153
74 Fi=0.146969 Di=0.79259 Ti=-1 Pi=0.844133
75 Fi=0.146786 Di=0.793861 Ti=-1 Pi=0.844507
76 Fi=0.145473 Di=0.793389 Ti=-1 Pi=0.845606
77 Fi=0.144379 Di=0.792953 Ti=-1 Pi=0.846518
78 Fi=0.144306 Di=0.793825 Ti=-1 Pi=0.846726
79 Fi=0.143503 Di=0.793752 Ti=-1 Pi=0.847437
80 Fi=0.14354 Di=0.792808 Ti=-1 Pi=0.84725
81 Fi=0.142993 Di=0.792081 Ti=-1 Pi=0.847625
82 Fi=0.142445 Di=0.794333 Ti=-1 Pi=0.848485
83 Fi=0.142445 Di=0.792626 Ti=-1 Pi=0.848208
84 Fi=0.142081 Di=0.792663 Ti=-1 Pi=0.848544
85 Fi=0.141132 Di=0.790665 Ti=-1 Pi=0.849079
86 Fi=0.141096 Di=0.790992 Ti=-1 Pi=0.849165
87 Fi=0.140731 Di=0.793062 Ti=-1 Pi=0.849831
88 Fi=0.140695 Di=0.79121 Ti=-1 Pi=0.849565
89 Fi=0.139783 Di=0.792989 Ti=-1 Pi=0.85068
90 Fi=0.13898 Di=0.792408 Ti=-1 Pi=0.851317
91 Fi=0.138652 Di=0.792045 Ti=-1 Pi=0.851558
92 Fi=0.138287 Di=0.79219 Ti=-1 Pi=0.851914
93 Fi=0.13774 Di=0.792481 Ti=-1 Pi=0.85246
94 Fi=0.13898 Di=0.792263 Ti=-1 Pi=0.851294
95 Fi=0.138433 Di=0.792372 Ti=-1 Pi=0.85181
96 Fi=0.138141 Di=0.791936 Ti=-1 Pi=0.852007
97 Fi=0.138579 Di=0.792336 Ti=-1 Pi=0.851671
98 Fi=0.137339 Di=0.792227 Ti=-1 Pi=0.852786
99 Fi=0.13701 Di=0.792227 Ti=-1 Pi=0.853086
100 Fi=0.136901 Di=0.791645 Ti=-1 Pi=0.853094
101 Fi=0.136573 Di=0.791754 Ti=-1 Pi=0.853412
102 Fi=0.135916 Di=0.791972 Ti=-1 Pi=0.854048
103 Fi=0.135916 Di=0.791101 Ti=-1 Pi=0.853911
104 Fi=0.134968 Di=0.792227 Ti=-1 Pi=0.854959
105 Fi=0.134639 Di=0.791936 Ti=-1 Pi=0.855215
106 Fi=0.134493 Di=0.791936 Ti=-1 Pi=0.855349
107 Fi=0.134238 Di=0.791573 Ti=-1 Pi=0.855528
108 Fi=0.133837 Di=0.79219 Ti=-1 Pi=0.855993
109 Fi=0.133545 Di=0.791428 Ti=-1 Pi=0.856144
110 Fi=0.133545 Di=0.79219 Ti=-1 Pi=0.856262
111 Fi=0.13318 Di=0.791464 Ti=-1 Pi=0.856486
112 Fi=0.133508 Di=0.791609 Ti=-1 Pi=0.856206
113 Fi=0.133545 Di=0.792735 Ti=-1 Pi=0.856347
114 Fi=0.133691 Di=0.792227 Ti=-1 Pi=0.856133
115 Fi=0.133508 Di=0.791573 Ti=-1 Pi=0.8562
116 Fi=0.0356022 Di=0.640356 Ti=0 Pi=0.947541
Layer 3    pos=27530 neg=976
117 Fi=0.0356022 Di=0.640501 Ti=-1 Pi=0.947552
118 Fi=0.0356022 Di=0.640138 Ti=-1 Pi=0.947524
119 Fi=0.0356022 Di=0.639775 Ti=-1 Pi=0.947496
120 Fi=0.0356022 Di=0.640247 Ti=-1 Pi=0.947533
121 Fi=0.0356022 Di=0.639448 Ti=-1 Pi=0.94747
122 Fi=0.0356022 Di=0.639775 Ti=-1 Pi=0.947496
123 Fi=0.0356022 Di=0.640937 Ti=-1 Pi=0.947586
124 Fi=0.0356022 Di=0.640283 Ti=-1 Pi=0.947535
125 Fi=0.0356022 Di=0.639956 Ti=-1 Pi=0.94751
126 Fi=0.0356022 Di=0.641155 Ti=-1 Pi=0.947603
127 Fi=0.0356022 Di=0.639956 Ti=-1 Pi=0.94751
128 Fi=0.0356022 Di=0.639521 Ti=-1 Pi=0.947476
129 Fi=0.0356022 Di=0.640392 Ti=-1 Pi=0.947544
130 Fi=0.0355658 Di=0.640792 Ti=-1 Pi=0.947626
131 Fi=0.0355293 Di=0.640138 Ti=-1 Pi=0.947626
132 Fi=0.0355293 Di=0.640429 Ti=-1 Pi=0.947648
133 Fi=0.0355293 Di=0.640065 Ti=-1 Pi=0.94762
134 Fi=0.0354563 Di=0.639557 Ti=-1 Pi=0.947683
135 Fi=0.0354563 Di=0.64032 Ti=-1 Pi=0.947742
136 Fi=0.0354563 Di=0.640756 Ti=-1 Pi=0.947776
137 Fi=0.0355293 Di=0.639884 Ti=-1 Pi=0.947606
138 Fi=0.0355293 Di=0.64032 Ti=-1 Pi=0.94764
139 Fi=0.0355293 Di=0.640102 Ti=-1 Pi=0.947623
140 Fi=0.0354199 Di=0.640138 Ti=-1 Pi=0.947779
141 Fi=0.0353834 Di=0.639593 Ti=-1 Pi=0.947788
142 Fi=0.0353469 Di=0.639847 Ti=-1 Pi=0.947858
143 Fi=0.0353469 Di=0.640138 Ti=-1 Pi=0.947881
144 Fi=0.0351645 Di=0.639702 Ti=-1 Pi=0.948102
145 Fi=0.0349821 Di=0.639593 Ti=-1 Pi=0.948349
146 Fi=0.0350916 Di=0.639521 Ti=-1 Pi=0.94819
147 Fi=0.0349092 Di=0.639629 Ti=-1 Pi=0.948454
148 Fi=0.0349456 Di=0.639375 Ti=-1 Pi=0.948384
149 Fi=0.0348362 Di=0.638903 Ti=-1 Pi=0.948501
150 Fi=0.0347633 Di=0.639121 Ti=-1 Pi=0.94862
151 Fi=0.0347268 Di=0.639303 Ti=-1 Pi=0.948685
152 Fi=0.0347633 Di=0.638758 Ti=-1 Pi=0.948592
153 Fi=0.0346173 Di=0.639811 Ti=-1 Pi=0.948877
154 Fi=0.0345444 Di=0.639157 Ti=-1 Pi=0.94893
155 Fi=0.0346173 Di=0.639884 Ti=-1 Pi=0.948882
156 Fi=0.0347268 Di=0.638394 Ti=-1 Pi=0.948616
157 Fi=0.0347268 Di=0.639121 Ti=-1 Pi=0.948671
158 Fi=0.0346903 Di=0.639448 Ti=-1 Pi=0.948747
159 Fi=0.0346173 Di=0.639339 Ti=-1 Pi=0.948841
160 Fi=0.0345079 Di=0.639303 Ti=-1 Pi=0.948992
161 Fi=0.0343985 Di=0.639521 Ti=-1 Pi=0.949162
162 Fi=0.034362 Di=0.638177 Ti=-1 Pi=0.949111
163 Fi=0.0341796 Di=0.637559 Ti=-1 Pi=0.949321
164 Fi=0.0341431 Di=0.638286 Ti=-1 Pi=0.949427
165 Fi=0.0341067 Di=0.638431 Ti=-1 Pi=0.949489
166 Fi=0.0340702 Di=0.638939 Ti=-1 Pi=0.949579
167 Fi=0.0338878 Di=0.638794 Ti=-1 Pi=0.949824
168 Fi=0.0338878 Di=0.63883 Ti=-1 Pi=0.949827
169 Fi=0.0338513 Di=0.63814 Ti=-1 Pi=0.949827
170 Fi=0.033596 Di=0.63854 Ti=-1 Pi=0.950216
171 Fi=0.0334136 Di=0.638104 Ti=-1 Pi=0.950441
172 Fi=0.0334501 Di=0.638503 Ti=-1 Pi=0.950419
173 Fi=0.0334501 Di=0.638685 Ti=-1 Pi=0.950432
174 Fi=0.0334501 Di=0.638467 Ti=-1 Pi=0.950416
175 Fi=0.033523 Di=0.638213 Ti=-1 Pi=0.950295
176 Fi=0.033523 Di=0.638503 Ti=-1 Pi=0.950316
177 Fi=0.033523 Di=0.638903 Ti=-1 Pi=0.950346
178 Fi=0.033523 Di=0.638322 Ti=-1 Pi=0.950303
179 Fi=0.0335595 Di=0.638177 Ti=-1 Pi=0.950241
180 Fi=0.0332312 Di=0.638177 Ti=-1 Pi=0.950703
181 Fi=0.0332312 Di=0.63854 Ti=-1 Pi=0.95073
182 Fi=0.0330488 Di=0.638649 Ti=-1 Pi=0.950995
183 Fi=0.0331947 Di=0.637959 Ti=-1 Pi=0.950739
184 Fi=0.0330853 Di=0.638576 Ti=-1 Pi=0.950938
185 Fi=0.0330488 Di=0.638939 Ti=-1 Pi=0.951016
186 Fi=0.0330853 Di=0.638358 Ti=-1 Pi=0.950923
187 Fi=0.0330123 Di=0.638758 Ti=-1 Pi=0.951055
188 Fi=0.0330488 Di=0.637777 Ti=-1 Pi=0.950932
189 Fi=0.0330853 Di=0.63814 Ti=-1 Pi=0.950907
190 Fi=0.0331218 Di=0.639012 Ti=-1 Pi=0.950919
191 Fi=0.0331582 Di=0.638249 Ti=-1 Pi=0.950812
192 Fi=0.0330123 Di=0.637886 Ti=-1 Pi=0.950991
193 Fi=0.00864522 Di=0.513186 Ti=0 Pi=0.983502
Layer 4    pos=27530 neg=237
194 Fi=0.00864522 Di=0.513149 Ti=-1 Pi=0.9835
195 Fi=0.00864522 Di=0.512459 Ti=-1 Pi=0.983479
196 Fi=0.00864522 Di=0.512713 Ti=-1 Pi=0.983487
197 Fi=0.00857226 Di=0.512532 Ti=-1 Pi=0.983618
198 Fi=0.00857226 Di=0.513549 Ti=-1 Pi=0.98365
199 Fi=0.00857226 Di=0.51344 Ti=-1 Pi=0.983646
200 Fi=0.00857226 Di=0.513367 Ti=-1 Pi=0.983644
201 Fi=0.00857226 Di=0.513295 Ti=-1 Pi=0.983642
202 Fi=0.00857226 Di=0.513367 Ti=-1 Pi=0.983644
203 Fi=0.00857226 Di=0.513077 Ti=-1 Pi=0.983635
204 Fi=0.00857226 Di=0.513149 Ti=-1 Pi=0.983637
205 Fi=0.00857226 Di=0.513222 Ti=-1 Pi=0.98364
206 Fi=0.00857226 Di=0.513476 Ti=-1 Pi=0.983648
