Strong Text    Ftarget:0.15 f=0.55 d:0.82
Layer 1    pos=27530 neg=27414
1 Fi=0.901291 Di=0.893171 Ti=-1 Pi=0.498793
2 Fi=0.925294 Di=0.934944 Ti=-1 Pi=0.503649
3 Fi=0.942548 Di=0.930621 Ti=-1 Pi=0.497872
4 Fi=0.921719 Di=0.922339 Ti=-1 Pi=0.501224
5 Fi=0.848399 Di=0.932655 Ti=-1 Pi=0.524707
6 Fi=0.854162 Di=0.931057 Ti=-1 Pi=0.52259
7 Fi=0.862151 Di=0.933019 Ti=-1 Pi=0.520792
8 Fi=0.862844 Di=0.929677 Ti=-1 Pi=0.519696
9 Fi=0.863063 Di=0.946822 Ti=-1 Pi=0.524193
10 Fi=0.797804 Di=0.939375 Ti=-1 Pi=0.541796
11 Fi=0.811045 Di=0.948602 Ti=-1 Pi=0.540135
12 Fi=0.733895 Di=0.929931 Ti=-1 Pi=0.559952
13 Fi=0.750711 Di=0.936215 Ti=-1 Pi=0.556025
14 Fi=0.755782 Di=0.953832 Ti=-1 Pi=0.558964
15 Fi=0.759429 Di=0.950381 Ti=-1 Pi=0.556882
16 Fi=0.754797 Di=0.953941 Ti=-1 Pi=0.559313
17 Fi=0.705734 Di=0.949837 Ti=-1 Pi=0.574754
18 Fi=0.682717 Di=0.945042 Ti=-1 Pi=0.581606
19 Fi=0.682024 Di=0.952125 Ti=-1 Pi=0.583669
20 Fi=0.685453 Di=0.945478 Ti=-1 Pi=0.580745
21 Fi=0.68082 Di=0.947475 Ti=-1 Pi=0.582909
22 Fi=0.650616 Di=0.946422 Ti=-1 Pi=0.59363
23 Fi=0.67699 Di=0.95543 Ti=-1 Pi=0.586309
24 Fi=0.658605 Di=0.957247 Ti=-1 Pi=0.593429
25 Fi=0.656489 Di=0.959971 Ti=-1 Pi=0.59489
26 Fi=0.639272 Di=0.961351 Ti=-1 Pi=0.601623
27 Fi=0.617239 Di=0.951072 Ti=-1 Pi=0.607438
28 Fi=0.613993 Di=0.953469 Ti=-1 Pi=0.609294
29 Fi=0.612388 Di=0.956448 Ti=-1 Pi=0.610659
30 Fi=0.605749 Di=0.954341 Ti=-1 Pi=0.612724
31 Fi=0.599146 Di=0.952997 Ti=-1 Pi=0.614988
32 Fi=0.590611 Di=0.958809 Ti=-1 Pi=0.619814
33 Fi=0.610929 Di=0.961061 Ti=-1 Pi=0.612369
34 Fi=0.596447 Di=0.959099 Ti=-1 Pi=0.617565
35 Fi=0.587218 Di=0.957138 Ti=-1 Pi=0.62076
36 Fi=0.587255 Di=0.958445 Ti=-1 Pi=0.621066
37 Fi=0.582877 Di=0.960625 Ti=-1 Pi=0.623359
38 Fi=0.582257 Di=0.953977 Ti=-1 Pi=0.621978
39 Fi=0.577223 Di=0.9583 Ti=-1 Pi=0.625077
40 Fi=0.576275 Di=0.9583 Ti=-1 Pi=0.625462
41 Fi=0.572189 Di=0.959826 Ti=-1 Pi=0.627499
42 Fi=0.565113 Di=0.96008 Ti=-1 Pi=0.630465
43 Fi=0.560371 Di=0.956556 Ti=-1 Pi=0.631571
44 Fi=0.572262 Di=0.958918 Ti=-1 Pi=0.627248
45 Fi=0.564639 Di=0.963531 Ti=-1 Pi=0.631496
46 Fi=0.561903 Di=0.959789 Ti=-1 Pi=0.631721
47 Fi=0.559203 Di=0.957755 Ti=-1 Pi=0.632348
48 Fi=0.55851 Di=0.95899 Ti=-1 Pi=0.632935
49 Fi=0.557817 Di=0.960334 Ti=-1 Pi=0.633549
50 Fi=0.553695 Di=0.958409 Ti=-1 Pi=0.634804
51 Fi=0.55468 Di=0.960225 Ti=-1 Pi=0.634831
52 Fi=0.553513 Di=0.961714 Ti=-1 Pi=0.635678
53 Fi=0.546108 Di=0.960806 Ti=-1 Pi=0.638574
Layer 2    pos=27530 neg=15034
54 Fi=0.544868 Di=0.960044 Ti=-1 Pi=0.638915
55 Fi=0.544539 Di=0.960189 Ti=-1 Pi=0.639089
56 Fi=0.545451 Di=0.959935 Ti=-1 Pi=0.638642
57 Fi=0.54505 Di=0.960915 Ti=-1 Pi=0.639047
58 Fi=0.545816 Di=0.960189 Ti=-1 Pi=0.638549
59 Fi=0.545451 Di=0.9587 Ti=-1 Pi=0.638345
60 Fi=0.544904 Di=0.95968 Ti=-1 Pi=0.638812
61 Fi=0.546071 Di=0.960625 Ti=-1 Pi=0.638545
62 Fi=0.546254 Di=0.961642 Ti=-1 Pi=0.638713
63 Fi=0.530131 Di=0.955249 Ti=-1 Pi=0.644069
64 Fi=0.535931 Di=0.958046 Ti=-1 Pi=0.642243
65 Fi=0.536149 Di=0.957828 Ti=-1 Pi=0.642097
66 Fi=0.538229 Di=0.959208 Ti=-1 Pi=0.641538
67 Fi=0.539177 Di=0.958591 Ti=-1 Pi=0.640985
68 Fi=0.53998 Di=0.960697 Ti=-1 Pi=0.641148
69 Fi=0.516853 Di=0.95474 Ti=-1 Pi=0.649742
70 Fi=0.513059 Di=0.953178 Ti=-1 Pi=0.651045
71 Fi=0.508536 Di=0.956193 Ti=-1 Pi=0.653769
72 Fi=0.508207 Di=0.953651 Ti=-1 Pi=0.653312
73 Fi=0.51025 Di=0.953324 Ti=-1 Pi=0.652325
74 Fi=0.509995 Di=0.956702 Ti=-1 Pi=0.65324
75 Fi=0.511308 Di=0.958482 Ti=-1 Pi=0.653079
76 Fi=0.504122 Di=0.953977 Ti=-1 Pi=0.655215
77 Fi=0.500109 Di=0.950999 Ti=-1 Pi=0.656313
